"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30307","Search commercial property without entering location","","2026-05-23","passed","2026-05-23","","","",""
"","45856","Search commercial property by location","","2026-05-23","passed","2026-05-23","","","",""
"","78912","Navigate to any commercial property from results page","","2026-05-23","passed","2026-05-23","","","",""
"","27107","Enter valid mobile number and continue to OTP screen","","2026-05-23","passed","2026-05-23","","","",""
"","69812","Navigate to any commercial property from results page","","2026-05-23","passed","2026-05-23","","","",""
"","251146","Search Noida commercial property and apply filters","","2026-05-23","passed","2026-05-23","","","",""
"","87696","Complete login with manually entered OTP","","2026-05-23","broken","2026-05-23","","","",""
"","46097","Search commercial property by location","","2026-05-23","passed","2026-05-23","","","",""
"","33401","Search commercial property with invalid location -- @1.1 ","","2026-05-23","passed","2026-05-23","","","",""
"","12472","Open 99acres login popup","","2026-05-23","passed","2026-05-23","","","",""
"","46392","Open fixed commercial property from Noida results page","","2026-05-23","passed","2026-05-23","","","",""
