2026-05-19 09:55:58 | INFO     | pytest | Starting browser: edge
2026-05-19 09:56:00 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 09:56:02 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:56:05 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-19 09:56:06 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:56:06 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_20260519_095606.png
2026-05-19 09:56:07 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-19 09:56:07 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-19 09:56:08 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_20260519_095607.png
2026-05-19 09:56:08 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-19 09:56:13 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-19 09:56:18 | INFO     | LoginPage | Paused for 60 seconds so OTP can be entered manually.
2026-05-19 09:57:18 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_03_login_done_20260519_095718.png
2026-05-19 09:57:18 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 09:57:20 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:57:24 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-19 09:57:24 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:57:25 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_04_home_reset_20260519_095724.png
2026-05-19 09:57:25 | INFO     | HomePage | Commercial tab opened
2026-05-19 09:57:25 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_05_commercial_tab_20260519_095725.png
2026-05-19 09:57:25 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 09:57:26 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 09:57:27 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_06_search_20260519_095726.png
2026-05-19 09:57:27 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 09:57:48 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_e2e_99acres.py_Test99AcresE2E_test_login_and_commercial_flow_20260519_095748.png
