2026-05-18 22:34:42 | INFO     | pytest | Starting browser: edge
2026-05-18 22:34:45 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-18 22:34:45 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 22:34:48 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 22:34:53 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-18 22:34:54 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 22:34:54 | INFO     | e2e | Captured E2E step screenshot: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_page_opened_20260518_223454.png
2026-05-18 22:34:54 | INFO     | e2e | Opening login popup from home page.
2026-05-18 22:34:55 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-18 22:34:55 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-18 22:34:55 | INFO     | e2e | Captured E2E step screenshot: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_opened_20260518_223455.png
2026-05-18 22:34:55 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-18 22:34:56 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-18 22:35:25 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_e2e_99acres.py_Test99AcresEndToEnd_test_login_search_and_filter_mumbai_properties_20260518_223524.png
