2026-05-18 23:04:34 | INFO     | pytest | Starting browser: edge
2026-05-18 23:04:36 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-18 23:04:36 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 23:04:40 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 23:04:44 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-18 23:04:44 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 23:04:44 | INFO     | e2e | Captured E2E step screenshot: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_page_opened_20260518_230444.png
2026-05-18 23:04:44 | INFO     | e2e | Opening login popup from home page.
2026-05-18 23:04:44 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-18 23:04:44 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-18 23:04:46 | INFO     | e2e | Captured E2E step screenshot: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_opened_20260518_230445.png
2026-05-18 23:04:46 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-18 23:04:46 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-18 23:04:52 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-18 23:04:57 | INFO     | LoginPage | Paused for 60 seconds so OTP can be entered manually.
2026-05-18 23:05:57 | INFO     | e2e | Captured E2E step screenshot: C:\Capstone_99acres\newproject\screenshots\e2e_03_after_manual_otp_pause_20260518_230557.png
2026-05-18 23:05:57 | INFO     | HomePage | Commercial tab opened
2026-05-18 23:05:58 | INFO     | e2e | Captured E2E step screenshot: C:\Capstone_99acres\newproject\screenshots\e2e_02_commercial_tab_opened_20260518_230557.png
2026-05-18 23:05:58 | INFO     | CommercialPage | Searching commercial property: Mumbai
2026-05-18 23:06:10 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_e2e_99acres.py_Test99AcresEndToEnd_test_login_search_and_filter_mumbai_properties_20260518_230609.png
