2026-05-19 10:54:37 | INFO     | pytest | Starting browser: edge
2026-05-19 10:54:39 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:54:41 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:54:45 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:54:45 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:54:45 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_20260519_105445.png
2026-05-19 10:54:45 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-19 10:54:45 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-19 10:54:46 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_20260519_105446.png
2026-05-19 10:54:46 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-19 10:54:51 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-19 10:54:56 | INFO     | LoginPage | Paused for 60 seconds so OTP can be entered manually.
2026-05-19 10:55:56 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_03_login_done_20260519_105556.png
2026-05-19 10:55:56 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_04_login_success_20260519_105556.png
