2026-05-19 10:45:32 | INFO     | pytest | Starting browser: edge
2026-05-19 10:45:34 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:45:36 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:45:40 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:45:40 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:45:40 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:45:40 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:45:41 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:45:42 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:45:43 | INFO     | CommercialPage | Verified
2026-05-19 10:45:46 | INFO     | CommercialPage | Budget Min Dropdown
2026-05-19 10:45:50 | INFO     | CommercialPage | Min Budget Selected
2026-05-19 10:45:56 | INFO     | CommercialPage | Budget Max Dropdown
2026-05-19 10:46:03 | INFO     | CommercialPage | Max Budget Selected skipped
2026-05-19 10:46:03 | INFO     | CommercialPage | Apartment Selected
2026-05-19 10:46:05 | INFO     | CommercialPage | Villa Selected
2026-05-19 10:46:08 | INFO     | CommercialPage | 2 BHK Selected
2026-05-19 10:46:15 | INFO     | CommercialPage | 3 BHK Selected skipped
2026-05-19 10:46:16 | INFO     | CommercialPage | Ready To Move Selected
2026-05-19 10:46:18 | INFO     | CommercialPage | Under Construction Selected
2026-05-19 10:46:20 | INFO     | CommercialPage | Owner Selected
2026-05-19 10:46:23 | INFO     | CommercialPage | Central Noida Selected
2026-05-19 10:46:30 | INFO     | CommercialPage | Sector 150 Selected skipped
2026-05-19 10:46:35 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-19 10:46:35 | INFO     | CommercialPage | Commercial filters completed
2026-05-19 10:46:35 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 10:46:35 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 10:46:36 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_for_commercial.py_TestCommercial_test_commercial_flow_20260519_104635.png
2026-05-19 10:46:36 | INFO     | pytest | Closing browser after complete test session
