2026-05-18 23:49:05 | INFO     | pytest | Starting browser: edge
2026-05-18 23:49:07 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 23:49:10 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 23:49:14 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-18 23:49:14 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 23:49:14 | INFO     | HomePage | Commercial tab opened
2026-05-18 23:49:14 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-18 23:49:16 | INFO     | CommercialPage | Search triggered using ENTER key
2026-05-18 23:49:16 | INFO     | CommercialPage | Applying commercial filters
2026-05-18 23:49:37 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_commercial.py_TestCommercial_test_commercial_flow_20260518_234937.png
2026-05-18 23:49:37 | INFO     | pytest | Closing browser after complete test session
