2026-05-19 10:18:45 | INFO     | pytest | Starting browser: edge
2026-05-19 10:18:46 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:18:48 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:18:53 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:18:53 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:18:53 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:18:53 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:18:55 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:18:55 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:19:00 | INFO     | CommercialPage | Verified filter applied
2026-05-19 10:19:06 | INFO     | CommercialPage | Owner filter applied
2026-05-19 10:19:06 | INFO     | CommercialPage | Parking filter applied
2026-05-19 10:19:06 | INFO     | CommercialPage | Commercial filters completed
2026-05-19 10:19:27 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_for_commercial.py_TestCommercial_test_commercial_flow_20260519_101927.png
2026-05-19 10:19:27 | INFO     | pytest | Closing browser after complete test session
