2026-05-19 10:24:34 | INFO     | pytest | Starting browser: edge
2026-05-19 10:24:35 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:24:36 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:24:41 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:24:41 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:24:41 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:24:41 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:24:42 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:24:42 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:24:47 | INFO     | CommercialPage | Verified filter applied
2026-05-19 10:24:49 | INFO     | CommercialPage | Owner filter applied
2026-05-19 10:24:49 | INFO     | CommercialPage | Parking filter applied
2026-05-19 10:24:49 | INFO     | CommercialPage | Commercial filters completed
2026-05-19 10:24:50 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 10:24:50 | INFO     | pytest | Closing browser after complete test session
