2026-05-19 10:06:53 | INFO     | pytest | Starting browser: edge
2026-05-19 10:06:55 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:06:58 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:07:01 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:07:01 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:07:01 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_20260519_100701.png
2026-05-19 10:07:02 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-19 10:07:02 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-19 10:07:02 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_20260519_100702.png
2026-05-19 10:07:02 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-19 10:07:07 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-19 10:07:12 | INFO     | LoginPage | Paused for 60 seconds so OTP can be entered manually.
2026-05-19 10:08:12 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_03_login_done_20260519_100812.png
2026-05-19 10:08:13 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_04_login_success_20260519_100812.png
