2026-05-19 10:29:52 | INFO     | pytest | Starting browser: edge
2026-05-19 10:29:53 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:29:55 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:29:59 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:29:59 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:30:00 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:30:00 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:30:01 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:30:01 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:30:07 | INFO     | CommercialPage | Verified
2026-05-19 10:30:07 | INFO     | CommercialPage | Budget Min Dropdown
2026-05-19 10:30:09 | INFO     | CommercialPage | Min Budget Selected
2026-05-19 10:30:12 | INFO     | CommercialPage | Budget Max Dropdown
2026-05-19 10:30:18 | INFO     | CommercialPage | Max Budget Selected skipped
2026-05-19 10:30:19 | INFO     | CommercialPage | Apartment Selected
2026-05-19 10:30:19 | INFO     | CommercialPage | Villa Selected
2026-05-19 10:30:19 | INFO     | CommercialPage | 2 BHK Selected
2026-05-19 10:30:20 | INFO     | CommercialPage | Stale element while clicking ('xpath', "//*[contains(text(),'3 BHK')]"). Retry 1/3.
2026-05-19 10:30:27 | INFO     | CommercialPage | 3 BHK Selected skipped
2026-05-19 10:30:27 | INFO     | CommercialPage | Ready To Move Selected
2026-05-19 10:30:28 | INFO     | CommercialPage | Under Construction Selected
2026-05-19 10:30:29 | INFO     | CommercialPage | Owner Selected
2026-05-19 10:30:30 | INFO     | CommercialPage | Central Noida Selected
2026-05-19 10:30:31 | INFO     | CommercialPage | Stale element while clicking ('xpath', "//*[contains(text(),'Sector 150')]"). Retry 1/3.
2026-05-19 10:30:32 | INFO     | CommercialPage | Sector 150 Selected
2026-05-19 10:30:32 | INFO     | CommercialPage | Parking Selected
2026-05-19 10:30:33 | INFO     | CommercialPage | Lift Selected
2026-05-19 10:30:33 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-19 10:30:33 | INFO     | CommercialPage | Commercial filters completed
2026-05-19 10:30:57 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 10:30:57 | INFO     | pytest | Closing browser after complete test session
