2026-05-19 11:04:08 | INFO     | pytest | Starting browser: edge
2026-05-19 11:04:10 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 11:04:12 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 11:04:16 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 11:04:16 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 11:04:17 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_20260519_110416.png
2026-05-19 11:04:17 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-19 11:04:17 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-19 11:04:18 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_20260519_110417.png
2026-05-19 11:04:18 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-19 11:04:23 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-19 11:04:27 | INFO     | LoginPage | Paused for 60 seconds so OTP can be entered manually.
2026-05-19 11:05:27 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_03_login_done_20260519_110527.png
2026-05-19 11:05:28 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_04_login_success_20260519_110527.png
