2026-05-19 09:44:17 | INFO     | pytest | Starting browser: edge
2026-05-19 09:44:19 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 09:44:25 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:44:29 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 09:44:29 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:44:29 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_20260519_094429.png
2026-05-19 09:44:30 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-19 09:44:30 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-19 09:44:33 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_02_login_popup_20260519_094433.png
2026-05-19 09:44:33 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-19 09:44:38 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-19 09:44:43 | INFO     | LoginPage | Paused for 60 seconds so OTP can be entered manually.
2026-05-19 09:45:43 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_03_login_done_20260519_094543.png
2026-05-19 09:45:43 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 09:45:45 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:45:49 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-19 09:45:49 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 09:45:50 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_04_home_reset_20260519_094549.png
2026-05-19 09:45:50 | INFO     | HomePage | Commercial tab opened
2026-05-19 09:45:50 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_05_commercial_tab_20260519_094550.png
2026-05-19 09:45:50 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 09:45:51 | INFO     | CommercialPage | Search triggered using ENTER
2026-05-19 09:45:56 | INFO     | e2e | Screenshot saved: C:\Capstone_99acres\newproject\screenshots\e2e_06_search_20260519_094554.png
2026-05-19 09:45:56 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 09:46:17 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_e2e_99acres.py_Test99AcresE2E_test_login_and_commercial_flow_20260519_094617.png
