2026-05-18 23:52:51 | INFO     | pytest | Starting browser: edge
2026-05-18 23:52:53 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 23:52:55 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 23:52:59 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-18 23:52:59 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-18 23:53:00 | INFO     | HomePage | Commercial tab opened
2026-05-18 23:53:00 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-18 23:53:01 | INFO     | CommercialPage | Search triggered using ENTER
2026-05-18 23:53:03 | INFO     | CommercialPage | Applying commercial filters
2026-05-18 23:53:25 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_commercial.py_TestCommercial_test_commercial_flow_20260518_235324.png
2026-05-18 23:53:25 | INFO     | pytest | Closing browser after complete test session
