2026-05-19 10:48:21 | INFO     | pytest | Starting browser: edge
2026-05-19 10:48:23 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:48:25 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:48:29 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:48:29 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:48:29 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:48:29 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:48:30 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:48:31 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:48:32 | INFO     | CommercialPage | Verified
2026-05-19 10:48:37 | INFO     | CommercialPage | Budget Min Dropdown
2026-05-19 10:48:40 | INFO     | CommercialPage | Min Budget Selected
2026-05-19 10:48:43 | INFO     | CommercialPage | Budget Max Dropdown
2026-05-19 10:48:50 | INFO     | CommercialPage | Max Budget Selected skipped
2026-05-19 10:48:50 | INFO     | CommercialPage | Apartment Selected
2026-05-19 10:48:52 | INFO     | CommercialPage | Villa Selected
2026-05-19 10:48:55 | INFO     | CommercialPage | 2 BHK Selected
2026-05-19 10:49:02 | INFO     | CommercialPage | 3 BHK Selected skipped
2026-05-19 10:49:02 | INFO     | CommercialPage | Ready To Move Selected
2026-05-19 10:49:05 | INFO     | CommercialPage | Under Construction Selected
2026-05-19 10:49:07 | INFO     | CommercialPage | Owner Selected
2026-05-19 10:49:09 | INFO     | CommercialPage | Central Noida Selected
2026-05-19 10:49:12 | INFO     | CommercialPage | Sector 150 Selected
2026-05-19 10:49:19 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-19 10:49:19 | INFO     | CommercialPage | Commercial filters completed
2026-05-19 10:49:19 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-19 10:49:28 | INFO     | CommercialPage | Commercial results loaded successfully
2026-05-19 10:49:28 | INFO     | CommercialPage | Validating location in results: Noida
2026-05-19 10:49:29 | INFO     | pytest | Closing browser after complete test session
