2026-05-19 10:08:36 | INFO     | pytest | Starting browser: edge
2026-05-19 10:08:37 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:08:43 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:08:48 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:08:48 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:08:50 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:08:50 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:08:51 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:08:52 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:09:14 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_for_commercial.py_TestCommercial_test_commercial_flow_20260519_100914.png
2026-05-19 10:09:14 | INFO     | pytest | Closing browser after complete test session
