2026-05-19 14:02:37 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 14:02:38 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 14:02:38 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 14:02:40 | INFO     | CommercialPage | Stale element while clicking ('xpath', "//*[contains(text(),'Verified')]"). Retry 1/3.
2026-05-19 14:02:41 | INFO     | CommercialPage | Verified
2026-05-19 14:02:43 | INFO     | CommercialPage | Budget Min Dropdown
2026-05-19 14:02:47 | INFO     | CommercialPage | Min Budget Selected
2026-05-19 14:02:49 | INFO     | CommercialPage | Budget Max Dropdown
2026-05-19 14:02:56 | INFO     | CommercialPage | Max Budget Selected skipped
2026-05-19 14:02:56 | INFO     | CommercialPage | Apartment Selected
2026-05-19 14:02:59 | INFO     | CommercialPage | Villa Selected
2026-05-19 14:03:06 | INFO     | CommercialPage | 2 BHK Selected skipped
2026-05-19 14:03:12 | INFO     | CommercialPage | 3 BHK Selected skipped
2026-05-19 14:03:17 | INFO     | CommercialPage | Ready To Move Selected skipped
2026-05-19 14:03:23 | INFO     | CommercialPage | Under Construction Selected skipped
2026-05-19 14:03:28 | INFO     | CommercialPage | Owner Selected skipped
2026-05-19 14:03:28 | INFO     | CommercialPage | Central Noida Selected
2026-05-19 14:03:31 | INFO     | CommercialPage | Sector 150 Selected
2026-05-19 14:03:33 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-19 14:03:33 | INFO     | CommercialPage | Commercial filters completed
