2026-05-20 23:23:22 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:23:22 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:23:25 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:23:25 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 23:23:25 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 23:23:30 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 23:23:30 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:23:30 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_232330.png
2026-05-20 23:23:30 | INFO     | HomePage | Opening Commercial tab
2026-05-20 23:23:30 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:23:31 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:23:31 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 23:23:31 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 23:23:31 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_232331.png
2026-05-20 23:23:31 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 23:23:32 | INFO     | CommercialPage | Commercial search input found
2026-05-20 23:23:32 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 23:23:33 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 23:23:33 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 23:23:33 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 23:23:34 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260520_232333.png
2026-05-20 23:23:34 | INFO     | CommercialPage | Applying commercial filters
2026-05-20 23:23:34 | INFO     | CommercialPage | Trying to click: Verified filter selected
2026-05-20 23:23:39 | INFO     | CommercialPage | Verified filter selected skipped. Error: Message: 

2026-05-20 23:23:39 | INFO     | CommercialPage | Trying to click: Budget minimum dropdown opened
2026-05-20 23:23:46 | INFO     | CommercialPage | Budget minimum dropdown opened skipped. Error: Message: 

2026-05-20 23:23:46 | INFO     | CommercialPage | Trying to click: Minimum budget 10 Lac selected
2026-05-20 23:23:53 | INFO     | CommercialPage | Minimum budget 10 Lac selected skipped. Error: Message: 

2026-05-20 23:23:53 | INFO     | CommercialPage | Trying to click: Budget maximum dropdown opened
2026-05-20 23:24:00 | INFO     | CommercialPage | Budget maximum dropdown opened skipped. Error: Message: 

2026-05-20 23:24:00 | INFO     | CommercialPage | Trying to click: Maximum budget 50 Lac selected
2026-05-20 23:24:08 | INFO     | CommercialPage | Maximum budget 50 Lac selected skipped. Error: Message: 

2026-05-20 23:24:08 | INFO     | CommercialPage | Trying to click: Residential Apartment selected
2026-05-20 23:24:15 | INFO     | CommercialPage | Residential Apartment selected skipped. Error: Message: 

2026-05-20 23:24:15 | INFO     | CommercialPage | Trying to click: Independent House/Villa selected
2026-05-20 23:24:20 | INFO     | CommercialPage | Independent House/Villa selected skipped. Error: Message: 

2026-05-20 23:24:20 | INFO     | CommercialPage | Trying to click: 2 BHK selected
2026-05-20 23:24:26 | INFO     | CommercialPage | 2 BHK selected skipped. Error: Message: 

2026-05-20 23:24:26 | INFO     | CommercialPage | Trying to click: 3 BHK selected
2026-05-20 23:24:31 | INFO     | CommercialPage | 3 BHK selected skipped. Error: Message: 

2026-05-20 23:24:31 | INFO     | CommercialPage | Trying to click: Ready to move selected
2026-05-20 23:24:38 | INFO     | CommercialPage | Ready to move selected skipped. Error: Message: 

2026-05-20 23:24:38 | INFO     | CommercialPage | Trying to click: Under Construction selected
2026-05-20 23:24:45 | INFO     | CommercialPage | Under Construction selected skipped. Error: Message: 

2026-05-20 23:24:45 | INFO     | CommercialPage | Trying to click: Owner selected
2026-05-20 23:24:50 | INFO     | CommercialPage | Owner selected skipped. Error: Message: 

2026-05-20 23:24:50 | INFO     | CommercialPage | Trying to click: Central Noida selected
2026-05-20 23:24:51 | INFO     | CommercialPage | Central Noida selected
2026-05-20 23:24:53 | INFO     | CommercialPage | Trying to click: Sector 150 selected
2026-05-20 23:25:00 | INFO     | CommercialPage | Sector 150 selected skipped. Error: Message: 

2026-05-20 23:25:00 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:25:00 | INFO     | CommercialPage | Commercial filters applied successfully
2026-05-20 23:25:00 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_commercial_filters_applied_20260520_232500.png
2026-05-20 23:25:00 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 23:25:00 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 23:25:10 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:25:20 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'properties')]")
2026-05-20 23:25:28 | INFO     | CommercialPage | Checking result locator: ('xpath', "//div[contains(@class,'listings')]")
2026-05-20 23:25:37 | INFO     | CommercialPage | Checking result locator: ('xpath', '//body')
2026-05-20 23:25:37 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', '//body')
2026-05-20 23:25:37 | INFO     | CommercialPage | Validating location in results: Noida
2026-05-20 23:25:37 | INFO     | CommercialPage | Location found in results: Noida
2026-05-20 23:25:37 | INFO     | commercial_test | Commercial flow completed successfully for Noida
