2026-05-21 15:46:45 | INFO     | pytest | Starting browser: edge
2026-05-21 15:46:48 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 15:46:48 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 15:47:22 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 15:47:22 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 15:47:22 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 15:47:26 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-21 15:47:26 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 15:47:27 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_154726.png
2026-05-21 15:47:27 | INFO     | HomePage | Opening Commercial tab
2026-05-21 15:47:27 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 15:48:00 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 15:48:00 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//span[contains(text(),'Commercial')]")
2026-05-21 15:48:07 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//span[contains(text(),'Commercial')]")
2026-05-21 15:48:07 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//a[contains(text(),'Commercial')]")
2026-05-21 15:48:14 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//a[contains(text(),'Commercial')]")
2026-05-21 15:48:14 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//*[contains(text(),'Commercial')]")
2026-05-21 15:48:21 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//*[contains(text(),'Commercial')]")
2026-05-21 15:48:21 | ERROR    | HomePage | Commercial tab not found on homepage
2026-05-21 15:48:22 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_property.py_TestPropertyNavigation_test_click_property_and_open_child_page_property_case0_20260521_154822.png
