2026-05-21 10:14:30 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 10:14:30 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-21 10:14:35 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-21 10:14:35 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-21 10:14:42 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-21 10:14:44 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260521_101442.png
2026-05-21 10:14:44 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-21 10:14:44 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-21 10:14:45 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260521_101444.png
2026-05-21 10:14:45 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-21 10:14:46 | INFO     | PropertyPage | Verified entered name successfully
2026-05-21 10:14:46 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260521_101446.png
2026-05-21 10:14:57 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-21 10:14:58 | INFO     | pytest | Closing browser after complete test session
