2026-05-21 23:35:26 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 23:35:26 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-21 23:35:27 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-21 23:35:27 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-21 23:35:35 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-21 23:35:35 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260521_233535.png
2026-05-21 23:35:35 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-21 23:35:35 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-21 23:35:35 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260521_233535.png
2026-05-21 23:35:35 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-21 23:35:37 | INFO     | PropertyPage | Verified entered name successfully
2026-05-21 23:35:37 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260521_233537.png
2026-05-21 23:35:47 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-21 23:35:47 | INFO     | pytest | Closing browser after complete test session
