2026-05-22 11:21:20 | INFO     | PropertyPage | PropertyPage initialized
2026-05-22 11:21:20 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-22 11:21:22 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-22 11:21:22 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-22 11:21:29 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-22 11:21:31 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260522_112129.png
2026-05-22 11:21:31 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-22 11:21:32 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-22 11:21:32 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260522_112132.png
2026-05-22 11:21:32 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-22 11:21:35 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_property.py_TestPropertyNavigation_test_download_brochure_button_property_case0_20260522_112135.png
2026-05-22 11:21:35 | INFO     | pytest | Closing browser after complete test session
