2026-05-20 15:15:18 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 15:15:18 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 15:15:20 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 15:15:20 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 15:15:20 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 15:15:24 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 15:15:24 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 15:15:24 | INFO     | HomePage | Opening Commercial tab
2026-05-20 15:15:24 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 15:15:24 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 15:15:24 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 15:15:24 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 15:15:24 | INFO     | CommercialPage | Searching commercial property for location: @@@@
2026-05-20 15:15:25 | INFO     | CommercialPage | Commercial search input found
2026-05-20 15:15:25 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 15:15:25 | INFO     | CommercialPage | Entered location: @@@@
2026-05-20 15:15:25 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 15:15:25 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 15:15:25 | INFO     | CommercialPage | Invalid search handled with message: 404
