2026-05-21 12:56:41 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 12:56:41 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-21 12:56:43 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-21 12:56:43 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-21 12:56:51 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-21 12:56:51 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260521_125651.png
2026-05-21 12:56:51 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-21 12:56:51 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-21 12:56:52 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260521_125651.png
2026-05-21 12:56:52 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-21 12:56:53 | INFO     | PropertyPage | Verified entered name successfully
2026-05-21 12:56:53 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260521_125653.png
2026-05-21 12:57:03 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-21 12:57:03 | INFO     | pytest | Closing browser after complete test session
