2026-05-20 23:34:08 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:34:08 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:34:10 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:34:10 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 23:34:10 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 23:34:14 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 23:34:14 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:34:15 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_233414.png
2026-05-20 23:34:15 | INFO     | HomePage | Opening Commercial tab
2026-05-20 23:34:15 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:34:15 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:34:15 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 23:34:15 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 23:34:16 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_233415.png
2026-05-20 23:34:16 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 23:34:16 | INFO     | CommercialPage | Commercial search input found
2026-05-20 23:34:16 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 23:34:16 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 23:34:16 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 23:34:17 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 23:34:18 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260520_233417.png
2026-05-20 23:34:18 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 23:34:18 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 23:34:28 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:34:28 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:34:28 | INFO     | PropertyPage | PropertyPage initialized
2026-05-20 23:34:28 | INFO     | PropertyPage | Trying to open fixed property: Ivory County
2026-05-20 23:34:28 | INFO     | PropertyPage | Waiting for property element to become clickable
2026-05-20 23:34:28 | INFO     | PropertyPage | Property element found
2026-05-20 23:34:28 | INFO     | PropertyPage | Scrolled to property element
2026-05-20 23:34:30 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_property.py_TestPropertyNavigation_test_click_property_and_open_child_page_property_case0_20260520_233429.png
