2026-05-21 10:03:46 | INFO     | pytest | Starting browser: edge
2026-05-21 10:03:48 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 10:03:48 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 10:03:51 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 10:03:51 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 10:03:51 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 10:03:55 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-21 10:03:55 | INFO     | HomePage | Cookie confirmation accepted
2026-05-21 10:03:55 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 10:03:56 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_100355.png
2026-05-21 10:03:56 | INFO     | HomePage | Opening Commercial tab
2026-05-21 10:03:56 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 10:03:56 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 10:03:56 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-21 10:03:56 | INFO     | HomePage | Commercial tab opened successfully
2026-05-21 10:03:56 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260521_100356.png
2026-05-21 10:03:56 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-21 10:03:57 | INFO     | CommercialPage | Commercial search input found
2026-05-21 10:03:57 | INFO     | CommercialPage | Cleared commercial search input
2026-05-21 10:03:57 | INFO     | CommercialPage | Entered location: Noida
2026-05-21 10:03:58 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-21 10:03:58 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-21 10:04:01 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260521_100358.png
2026-05-21 10:04:01 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-21 10:04:01 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 10:04:11 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 10:04:11 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 10:04:11 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 10:04:12 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_property.py_TestPropertyNavigation_test_click_property_and_open_child_page_property_case0_20260521_100411.png
