2026-05-21 10:10:24 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 10:10:24 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-21 10:10:25 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-21 10:10:25 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-21 10:10:33 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-21 10:10:33 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260521_101033.png
2026-05-21 10:10:33 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-21 10:10:33 | INFO     | PropertyPage | Download Brochure button found
2026-05-21 10:10:33 | INFO     | PropertyPage | Scrolled to Download Brochure button
2026-05-21 10:10:33 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-21 10:10:34 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260521_101033.png
2026-05-21 10:10:34 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-21 10:10:34 | INFO     | PropertyPage | Name field located successfully
2026-05-21 10:10:35 | INFO     | PropertyPage | Scrolled to name input field
2026-05-21 10:10:35 | INFO     | PropertyPage | Clicked name input field
2026-05-21 10:10:35 | INFO     | PropertyPage | Cleared existing name field value
2026-05-21 10:10:35 | INFO     | PropertyPage | Entered name into brochure form: Satyam Gangwar
2026-05-21 10:10:35 | INFO     | PropertyPage | Verified entered name successfully
2026-05-21 10:10:35 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260521_101035.png
2026-05-21 10:10:45 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-21 10:10:45 | INFO     | pytest | Closing browser after complete test session
