2026-05-20 23:40:13 | INFO     | pytest | Starting browser: edge
2026-05-20 23:40:15 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:40:15 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 23:40:22 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:40:22 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 23:40:22 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 23:40:26 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-20 23:40:26 | INFO     | HomePage | Cookie confirmation accepted
2026-05-20 23:40:26 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 23:40:27 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_234026.png
2026-05-20 23:40:27 | INFO     | HomePage | Opening Commercial tab
2026-05-20 23:40:27 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:40:27 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 23:40:27 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 23:40:27 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 23:40:28 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_234027.png
2026-05-20 23:40:28 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 23:40:29 | INFO     | CommercialPage | Commercial search input found
2026-05-20 23:40:29 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 23:40:29 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 23:40:30 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 23:40:35 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 23:40:36 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260520_234035.png
2026-05-20 23:40:36 | INFO     | CommercialPage | Applying commercial filters
2026-05-20 23:40:36 | INFO     | CommercialPage | Trying to click: Verified filter selected
2026-05-20 23:40:36 | INFO     | CommercialPage | Verified filter selected
2026-05-20 23:40:38 | INFO     | CommercialPage | Trying to click: Budget minimum dropdown opened
2026-05-20 23:40:38 | INFO     | CommercialPage | Budget minimum dropdown opened
2026-05-20 23:40:41 | INFO     | CommercialPage | Trying to click: Minimum budget 10 Lac selected
2026-05-20 23:40:43 | INFO     | CommercialPage | Minimum budget 10 Lac selected
2026-05-20 23:40:45 | INFO     | CommercialPage | Trying to click: Budget maximum dropdown opened
2026-05-20 23:40:45 | INFO     | CommercialPage | Budget maximum dropdown opened
2026-05-20 23:40:47 | INFO     | CommercialPage | Trying to click: Maximum budget 50 Lac selected
2026-05-20 23:40:52 | INFO     | CommercialPage | Maximum budget 50 Lac selected skipped. Error: Message: 

2026-05-20 23:40:52 | INFO     | CommercialPage | Trying to click: Residential Apartment selected
2026-05-20 23:40:52 | INFO     | CommercialPage | Residential Apartment selected
2026-05-20 23:40:54 | INFO     | CommercialPage | Trying to click: Independent House/Villa selected
2026-05-20 23:40:55 | INFO     | CommercialPage | Independent House/Villa selected
2026-05-20 23:40:57 | INFO     | CommercialPage | Trying to click: 2 BHK selected
2026-05-20 23:40:57 | INFO     | CommercialPage | 2 BHK selected
2026-05-20 23:40:59 | INFO     | CommercialPage | Trying to click: 3 BHK selected
2026-05-20 23:41:02 | INFO     | CommercialPage | Stale element while clicking ('xpath', "//*[contains(text(),'3 BHK')]"). Retry 1/3.
2026-05-20 23:41:09 | INFO     | CommercialPage | 3 BHK selected skipped. Error: Message: 

2026-05-20 23:41:09 | INFO     | CommercialPage | Trying to click: Ready to move selected
2026-05-20 23:41:09 | INFO     | CommercialPage | Ready to move selected
2026-05-20 23:41:11 | INFO     | CommercialPage | Trying to click: Under Construction selected
2026-05-20 23:41:12 | INFO     | CommercialPage | Under Construction selected
2026-05-20 23:41:14 | INFO     | CommercialPage | Trying to click: Owner selected
2026-05-20 23:41:14 | INFO     | CommercialPage | Owner selected
2026-05-20 23:41:16 | INFO     | CommercialPage | Trying to click: Central Noida selected
2026-05-20 23:41:18 | INFO     | CommercialPage | Central Noida selected
2026-05-20 23:41:20 | INFO     | CommercialPage | Trying to click: Sector 150 selected
2026-05-20 23:41:25 | INFO     | CommercialPage | Sector 150 selected skipped. Error: Message: 

2026-05-20 23:41:25 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-20 23:41:25 | INFO     | CommercialPage | Commercial filters applied successfully
2026-05-20 23:41:26 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_commercial_filters_applied_20260520_234125.png
2026-05-20 23:41:26 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 23:41:26 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 23:41:36 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:41:36 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-20 23:41:36 | INFO     | CommercialPage | Validating location in results: Noida
2026-05-20 23:41:36 | INFO     | CommercialPage | Location found in results: Noida
2026-05-20 23:41:36 | INFO     | commercial_test | Commercial flow completed successfully for Noida
2026-05-20 23:41:36 | INFO     | pytest | Closing browser after complete test session
