2026-05-22 11:18:53 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-22 11:18:53 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-22 11:18:55 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-22 11:18:55 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-22 11:18:55 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-22 11:19:00 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-22 11:19:00 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-22 11:19:00 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260522_111900.png
2026-05-22 11:19:02 | INFO     | HomePage | Opening Commercial tab
2026-05-22 11:19:02 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-22 11:19:02 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-22 11:19:02 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-22 11:19:02 | INFO     | HomePage | Commercial tab opened successfully
2026-05-22 11:19:03 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260522_111902.png
2026-05-22 11:19:05 | INFO     | CommercialPage | Selecting property type: Shop
2026-05-22 11:19:05 | INFO     | CommercialPage | Using property type xpath: //*[contains(text(),'Shop') or contains(text(),'Retail')]
2026-05-22 11:19:05 | INFO     | CommercialPage | Property type option found: Shop
2026-05-22 11:19:05 | INFO     | CommercialPage | Selected property type: Shop
2026-05-22 11:19:05 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_property_type_selected_Shop_20260522_111905.png
2026-05-22 11:19:07 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-22 11:19:07 | INFO     | CommercialPage | Commercial search input found
2026-05-22 11:19:07 | INFO     | CommercialPage | Cleared commercial search input
2026-05-22 11:19:08 | INFO     | CommercialPage | Entered location: Noida
2026-05-22 11:19:08 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-22 11:19:08 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-22 11:19:09 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_Shop_search_results_Noida_20260522_111908.png
2026-05-22 11:19:12 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-22 11:19:12 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-22 11:19:22 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-22 11:19:22 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-22 11:19:22 | INFO     | commercial_test | Shop search successful in Noida
