2026-05-20 17:00:09 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 17:00:09 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 17:00:10 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 17:00:10 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 17:00:10 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 17:00:15 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 17:00:15 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 17:00:15 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_170015.png
2026-05-20 17:00:15 | INFO     | HomePage | Opening Commercial tab
2026-05-20 17:00:15 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 17:00:15 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 17:00:15 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 17:00:15 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 17:00:15 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_170015.png
2026-05-20 17:00:15 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 17:00:15 | INFO     | CommercialPage | Commercial search input found
2026-05-20 17:00:15 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 17:00:15 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 17:00:16 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 17:00:16 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 17:00:17 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260520_170016.png
2026-05-20 17:00:17 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 17:00:17 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 17:00:18 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 17:00:18 | INFO     | PropertyPage | PropertyPage initialized
2026-05-20 17:00:18 | INFO     | PropertyPage | Trying to open fixed property: Ivory County
2026-05-20 17:00:18 | INFO     | PropertyPage | Waiting for property element to become clickable
2026-05-20 17:00:18 | INFO     | PropertyPage | Property element found
2026-05-20 17:00:18 | INFO     | PropertyPage | Scrolled to property element
2026-05-20 17:00:19 | INFO     | PropertyPage | Clicked on Ivory County property
2026-05-20 17:00:19 | INFO     | PropertyPage | Detected page navigation or child window opening
2026-05-20 17:00:19 | INFO     | PropertyPage | Property page body loaded successfully
2026-05-20 17:00:19 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_property_child_page_opened_20260520_170019.png
2026-05-20 17:00:19 | INFO     | PropertyPage | Verifying property page opened
2026-05-20 17:00:19 | INFO     | PropertyPage | Property page opened successfully
2026-05-20 17:00:19 | INFO     | property | Fixed property child page opened successfully
