2026-05-20 16:44:19 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 16:44:19 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 16:44:20 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 16:44:20 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 16:44:20 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 16:44:25 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 16:44:25 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 16:44:25 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260520_164425.png
2026-05-20 16:44:27 | INFO     | HomePage | Opening Commercial tab
2026-05-20 16:44:27 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 16:44:27 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 16:44:27 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 16:44:27 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 16:44:28 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260520_164427.png
2026-05-20 16:44:30 | INFO     | CommercialPage | Selecting property type: Shop
2026-05-20 16:44:30 | INFO     | CommercialPage | Using property type xpath: //*[contains(text(),'Shop') or contains(text(),'Retail')]
2026-05-20 16:44:30 | INFO     | CommercialPage | Property type option found: Shop
2026-05-20 16:44:30 | INFO     | CommercialPage | Selected property type: Shop
2026-05-20 16:44:30 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_property_type_selected_Shop_20260520_164430.png
2026-05-20 16:44:32 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-20 16:44:32 | INFO     | CommercialPage | Commercial search input found
2026-05-20 16:44:32 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 16:44:33 | INFO     | CommercialPage | Entered location: Noida
2026-05-20 16:44:33 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 16:44:33 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 16:44:35 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_Shop_search_results_Noida_20260520_164433.png
2026-05-20 16:44:38 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-20 16:44:38 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 16:44:39 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-20 16:44:39 | INFO     | commercial_test | Shop search successful in Noida
