2026-05-21 09:54:12 | INFO     | pytest | Starting browser: edge
2026-05-21 09:54:14 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 09:54:14 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 09:54:18 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 09:54:18 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 09:54:18 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 09:54:23 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-21 09:54:23 | INFO     | HomePage | Cookie confirmation accepted
2026-05-21 09:54:23 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 09:54:23 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_095423.png
2026-05-21 09:54:23 | INFO     | HomePage | Opening Commercial tab
2026-05-21 09:54:23 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 09:54:23 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 09:54:24 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-21 09:54:24 | INFO     | HomePage | Commercial tab opened successfully
2026-05-21 09:54:24 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260521_095424.png
2026-05-21 09:54:24 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-21 09:54:25 | INFO     | CommercialPage | Commercial search input found
2026-05-21 09:54:25 | INFO     | CommercialPage | Cleared commercial search input
2026-05-21 09:54:25 | INFO     | CommercialPage | Entered location: Noida
2026-05-21 09:54:26 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-21 09:54:28 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-21 09:54:30 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260521_095428.png
2026-05-21 09:54:30 | INFO     | CommercialPage | Applying commercial filters
2026-05-21 09:54:30 | INFO     | CommercialPage | Trying to click: Verified filter selected
2026-05-21 09:54:30 | INFO     | CommercialPage | Verified filter selected
2026-05-21 09:54:32 | INFO     | CommercialPage | Trying to click: Budget minimum dropdown opened
2026-05-21 09:54:33 | INFO     | CommercialPage | Budget minimum dropdown opened
2026-05-21 09:54:36 | INFO     | CommercialPage | Trying to click: Minimum budget 10 Lac selected
2026-05-21 09:54:38 | INFO     | CommercialPage | Minimum budget 10 Lac selected
2026-05-21 09:54:40 | INFO     | CommercialPage | Trying to click: Residential Apartment selected
2026-05-21 09:54:40 | INFO     | CommercialPage | Residential Apartment selected
2026-05-21 09:54:42 | INFO     | CommercialPage | Trying to click: Independent House/Villa selected
2026-05-21 09:54:44 | INFO     | CommercialPage | Independent House/Villa selected
2026-05-21 09:54:46 | INFO     | CommercialPage | Trying to click: 2 BHK selected
2026-05-21 09:54:51 | INFO     | CommercialPage | 2 BHK selected skipped. Error: Message: 

2026-05-21 09:54:51 | INFO     | CommercialPage | Trying to click: 3 BHK selected
2026-05-21 09:54:57 | INFO     | CommercialPage | 3 BHK selected skipped. Error: Message: 

2026-05-21 09:54:57 | INFO     | CommercialPage | Trying to click: Ready to move selected
2026-05-21 09:55:02 | INFO     | CommercialPage | Ready to move selected skipped. Error: Message: 

2026-05-21 09:55:02 | INFO     | CommercialPage | Trying to click: Under Construction selected
2026-05-21 09:55:08 | INFO     | CommercialPage | Under Construction selected skipped. Error: Message: 

2026-05-21 09:55:08 | INFO     | CommercialPage | Trying to click: Owner selected
2026-05-21 09:55:13 | INFO     | CommercialPage | Owner selected skipped. Error: Message: 

2026-05-21 09:55:13 | INFO     | CommercialPage | Trying to click: Central Noida selected
2026-05-21 09:55:13 | INFO     | CommercialPage | Central Noida selected
2026-05-21 09:55:15 | INFO     | CommercialPage | Trying to click: Sector 150 selected
2026-05-21 09:55:17 | INFO     | CommercialPage | Sector 150 selected
2026-05-21 09:55:19 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-21 09:55:19 | INFO     | CommercialPage | Commercial filters applied successfully
2026-05-21 09:55:19 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_commercial_filters_applied_20260521_095519.png
2026-05-21 09:55:19 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-21 09:55:19 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 09:55:29 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 09:55:29 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 09:55:29 | INFO     | CommercialPage | Validating location in results: Noida
2026-05-21 09:55:30 | INFO     | CommercialPage | Location found in results: Noida
2026-05-21 09:55:30 | INFO     | commercial_test | Commercial flow completed successfully for Noida
