2026-05-21 12:51:44 | INFO     | pytest | Starting browser: edge
2026-05-21 12:51:46 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 12:51:46 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 12:51:48 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 12:51:48 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 12:51:48 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 12:51:51 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-21 12:51:51 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 12:51:52 | INFO     | e2e | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\e2e_01_home_20260521_125151.png
2026-05-21 12:51:52 | INFO     | HomePage | Opening login popup
2026-05-21 12:51:52 | INFO     | HomePage | Hovered on login icon
2026-05-21 12:51:52 | INFO     | HomePage | Clicking element: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-21 12:52:13 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_e2e_99acres.py_Test99AcresE2E_test_login_and_commercial_search_login-Mumbai_20260521_125212.png
