"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_download_brochure_button[property_case0]","tests","2026-05-21","broken","2026-05-21","TestPropertyNavigation","test_property","",""
"","53493","test_search_shop_showroom[Noida-Shop]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","11848","test_invalid_location_search[@@@@]","tests","2026-05-20","passed","2026-05-20","TestCommercial","test_for_commercial","",""
"","51390","Login and search commercial property","tests","2026-05-21","passed","2026-05-21","Test99AcresE2E","test_e2e_99acres","",""
"","4487","test_invalid_commercial_url[https://www.99acres.com/search/property/buy/commercial-property-in-@@@@]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","80483","Login with OTP","tests","2026-05-20","passed","2026-05-20","Test99AcresE2E","test_e2e_99acres","",""
"","41175","test_ivory_county_title_visible[property_case0]","tests","2026-05-21","broken","2026-05-21","TestPropertyNavigation","test_property","",""
"","93233","test_click_property_and_open_child_page[property_case0]","tests","2026-05-21","failed","2026-05-21","TestPropertyNavigation","test_property","",""
"","9156","test_invalid_location_search[xyz123invalid]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","72143","test_multiple_city_commercial_flow[Mumbai]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","26425","test_search_shop_showroom[Delhi-Shop]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","101857","Login and search commercial property with filters","tests","2026-05-21","broken","2026-05-21","Test99AcresE2E","test_e2e_99acres","",""
"","1264","test_invalid_commercial_url[https://www.99acres.com/search/property/buy/commercial-property-in-invalidcity123]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","15685","test_view_number_button[Noida]","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","4","test_ivory_county_location_visible[property_case0]","tests","2026-05-21","broken","2026-05-21","TestPropertyNavigation","test_property","",""
"","81454","Login with OTP","tests","2026-05-21","passed","2026-05-21","Test99AcresE2E","test_e2e_99acres","",""
"","71364","test_commercial_flow","tests","2026-05-21","passed","2026-05-21","TestCommercial","test_for_commercial","",""
"","71820","test_multiple_city_commercial_flow[Delhi]","tests","2026-05-20","passed","2026-05-20","TestCommercial","test_for_commercial","",""
