2026-05-20 15:15:25 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 15:15:25 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 15:15:27 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 15:15:27 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 15:15:27 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 15:15:31 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 15:15:32 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 15:15:32 | INFO     | HomePage | Opening Commercial tab
2026-05-20 15:15:32 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 15:15:32 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 15:15:32 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-20 15:15:32 | INFO     | HomePage | Commercial tab opened successfully
2026-05-20 15:15:32 | INFO     | CommercialPage | Searching commercial property for location: xyz123invalid
2026-05-20 15:15:32 | INFO     | CommercialPage | Commercial search input found
2026-05-20 15:15:32 | INFO     | CommercialPage | Cleared commercial search input
2026-05-20 15:15:33 | INFO     | CommercialPage | Entered location: xyz123invalid
2026-05-20 15:15:33 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-20 15:15:33 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-20 15:15:33 | INFO     | CommercialPage | Invalid search handled with message: invalid
