2026-05-22 09:51:15 | INFO     | PropertyPage | PropertyPage initialized
2026-05-22 09:51:15 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-22 09:51:16 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-22 09:51:16 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-22 09:51:21 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-22 09:51:23 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260522_095121.png
2026-05-22 09:51:23 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-22 09:51:23 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-22 09:51:24 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260522_095123.png
2026-05-22 09:51:24 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-22 09:51:25 | INFO     | PropertyPage | Verified entered name successfully
2026-05-22 09:51:25 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260522_095125.png
2026-05-22 09:51:35 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-22 09:51:35 | INFO     | pytest | Closing browser after complete test session
