2026-05-22 07:56:21 | INFO     | PropertyPage | PropertyPage initialized
2026-05-22 07:56:21 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-22 07:56:22 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-22 07:56:22 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-22 07:56:29 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-22 07:56:30 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260522_075629.png
2026-05-22 07:56:30 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-22 07:56:30 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-22 07:56:31 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260522_075630.png
2026-05-22 07:56:31 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-22 07:56:37 | INFO     | PropertyPage | Verified entered name successfully
2026-05-22 07:56:38 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_name_entered_in_brochure_form_20260522_075637.png
2026-05-22 07:56:48 | INFO     | property | Name entered successfully: Satyam Gangwar
2026-05-22 07:56:48 | INFO     | pytest | Closing browser after complete test session
