2026-05-21 12:54:07 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 12:54:07 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 12:54:08 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 12:54:08 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 12:54:08 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 12:54:13 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-21 12:54:13 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 12:54:13 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_125413.png
2026-05-21 12:54:15 | INFO     | HomePage | Opening Commercial tab
2026-05-21 12:54:15 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 12:54:15 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 12:54:15 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-21 12:54:15 | INFO     | HomePage | Commercial tab opened successfully
2026-05-21 12:54:16 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260521_125415.png
2026-05-21 12:54:18 | INFO     | CommercialPage | Selecting property type: Shop
2026-05-21 12:54:18 | INFO     | CommercialPage | Using property type xpath: //*[contains(text(),'Shop') or contains(text(),'Retail')]
2026-05-21 12:54:18 | INFO     | CommercialPage | Property type option found: Shop
2026-05-21 12:54:18 | INFO     | CommercialPage | Selected property type: Shop
2026-05-21 12:54:18 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_property_type_selected_Shop_20260521_125418.png
2026-05-21 12:54:20 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-21 12:54:20 | INFO     | CommercialPage | Commercial search input found
2026-05-21 12:54:20 | INFO     | CommercialPage | Cleared commercial search input
2026-05-21 12:54:21 | INFO     | CommercialPage | Entered location: Noida
2026-05-21 12:54:21 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-21 12:54:21 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-21 12:54:23 | INFO     | commercial_test | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_Shop_search_results_Noida_20260521_125421.png
2026-05-21 12:54:26 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-21 12:54:26 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 12:54:36 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 12:54:36 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(text(),'Verified properties')]")
2026-05-21 12:54:36 | INFO     | commercial_test | Shop search successful in Noida
