2026-05-20 15:49:16 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 15:49:16 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 15:49:17 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 15:49:17 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-20 15:49:17 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-20 15:49:22 | INFO     | HomePage | Cookie confirmation was not shown
2026-05-20 15:49:22 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 15:49:22 | INFO     | commercial_test | Homepage opened successfully
2026-05-20 15:49:22 | INFO     | HomePage | Opening Commercial tab
2026-05-20 15:49:22 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 15:49:27 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-20 15:49:27 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//span[contains(text(),'Commercial')]")
2026-05-20 15:49:33 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//span[contains(text(),'Commercial')]")
2026-05-20 15:49:33 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//a[contains(text(),'Commercial')]")
2026-05-20 15:49:38 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//a[contains(text(),'Commercial')]")
2026-05-20 15:49:38 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//*[contains(text(),'Commercial')]")
2026-05-20 15:49:44 | INFO     | HomePage | Commercial tab locator not found: ('xpath', "//*[contains(text(),'Commercial')]")
2026-05-20 15:49:44 | ERROR    | HomePage | Commercial tab not found on homepage
2026-05-20 15:49:45 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_for_commercial.py_TestCommercial_test_invalid_location_search_20260520_154944.png
