2026-05-21 11:03:13 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 11:03:13 | INFO     | PropertyPage | Opening Ivory County property page
2026-05-21 11:03:14 | INFO     | PropertyPage | Ivory County page loaded successfully
2026-05-21 11:03:14 | INFO     | PropertyPage | Checking disclaimer popup
2026-05-21 11:03:21 | INFO     | PropertyPage | Disclaimer popup was not shown
2026-05-21 11:03:21 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_ivory_county_page_opened_20260521_110321.png
2026-05-21 11:03:21 | INFO     | PropertyPage | Trying to click Download Brochure button
2026-05-21 11:03:21 | INFO     | PropertyPage | Clicked on Download Brochure button
2026-05-21 11:03:22 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_brochure_popup_opened_20260521_110321.png
2026-05-21 11:03:22 | INFO     | PropertyPage | Trying to fill brochure form
2026-05-21 11:03:24 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_property.py_TestPropertyNavigation_test_download_brochure_button_property_case0_20260521_110324.png
2026-05-21 11:03:24 | INFO     | pytest | Closing browser after complete test session
